State,Active_Node_Count,Active_Nodes,Inactive_Nodes,State_Dict,Active_Percentage
State 1,17,"['Cyclin_E1', 'EGF', 'ER_alpha', 'CDK2', 'ERBB1', 'c_MYC', 'ERBB3', 'ERBB2', 'ERBB2_3', 'CDK6', 'AKT1', 'ERBB1_2', 'Cyclin_D1', 'CDK4', 'pRB', 'ERBB1_3', 'MEK1']","['p27', 'IGF1R', 'p21']","{Cyclin_E1: True, EGF: True, ER_alpha: True, CDK2: True, p27: False, ERBB1: True, c_MYC: True, ERBB3: True, ERBB2: True, ERBB2_3: True, IGF1R: False, CDK6: True, AKT1: True, ERBB1_2: True, Cyclin_D1: True, p21: False, CDK4: True, pRB: True, ERBB1_3: True, MEK1: True}",85.0
State 2,0,[],"['Cyclin_E1', 'EGF', 'ER_alpha', 'CDK2', 'p27', 'ERBB3', 'c_MYC', 'ERBB1', 'ERBB2', 'ERBB2_3', 'IGF1R', 'CDK6', 'AKT1', 'ERBB1_2', 'Cyclin_D1', 'p21', 'CDK4', 'pRB', 'ERBB1_3', 'MEK1']","{Cyclin_E1: False, EGF: False, ER_alpha: False, CDK2: False, p27: False, ERBB3: False, c_MYC: False, ERBB1: False, ERBB2: False, ERBB2_3: False, IGF1R: False, CDK6: False, AKT1: False, ERBB1_2: False, Cyclin_D1: False, p21: False, CDK4: False, pRB: False, ERBB1_3: False, MEK1: False}",0.0
State 3,11,"['Cyclin_E1', 'ER_alpha', 'CDK2', 'c_MYC', 'IGF1R', 'CDK6', 'AKT1', 'Cyclin_D1', 'CDK4', 'pRB', 'MEK1']","['EGF', 'p27', 'ERBB3', 'ERBB1', 'ERBB2', 'ERBB2_3', 'ERBB1_2', 'p21', 'ERBB1_3']","{Cyclin_E1: True, EGF: False, ER_alpha: True, CDK2: True, p27: False, ERBB3: False, c_MYC: True, ERBB1: False, ERBB2: False, ERBB2_3: False, IGF1R: True, CDK6: True, AKT1: True, ERBB1_2: False, Cyclin_D1: True, p21: False, CDK4: True, pRB: True, ERBB1_3: False, MEK1: True}",55.00000000000001
